Tacticam File,Matched Broadcast File,Similarity Score
tacticam_frame109_player10.jpg,broadcast_frame41_player7.jpg,0.9693
tacticam_frame109_player11.jpg,broadcast_frame48_player8.jpg,0.9698
tacticam_frame109_player12.jpg,broadcast_frame105_player1.jpg,0.9598
tacticam_frame109_player13.jpg,broadcast_frame98_player4.jpg,0.9614
tacticam_frame109_player14.jpg,broadcast_frame82_player9.jpg,0.9595
tacticam_frame109_player15.jpg,broadcast_frame12_player8.jpg,0.9629
tacticam_frame109_player16.jpg,broadcast_frame70_player4.jpg,0.9665
tacticam_frame109_player2.jpg,broadcast_frame109_player2.jpg,0.9446
tacticam_frame109_player3.jpg,broadcast_frame17_player8.jpg,0.9713
tacticam_frame109_player4.jpg,broadcast_frame83_player3.jpg,0.9631
tacticam_frame109_player5.jpg,broadcast_frame98_player4.jpg,0.9363
tacticam_frame109_player6.jpg,broadcast_frame12_player10.jpg,0.9417
tacticam_frame109_player7.jpg,broadcast_frame25_player10.jpg,0.9506
tacticam_frame109_player8.jpg,broadcast_frame68_player8.jpg,0.9517
tacticam_frame109_player9.jpg,broadcast_frame104_player7.jpg,0.9609
tacticam_frame10_player0.jpg,broadcast_frame12_player8.jpg,0.9486
tacticam_frame10_player1.jpg,broadcast_frame101_player6.jpg,0.9638
tacticam_frame10_player10.jpg,broadcast_frame44_player6.jpg,0.9353
tacticam_frame10_player11.jpg,broadcast_frame123_player6.jpg,0.9638
tacticam_frame10_player12.jpg,broadcast_frame61_player1.jpg,0.9272
tacticam_frame10_player13.jpg,broadcast_frame101_player8.jpg,0.9692
tacticam_frame10_player14.jpg,broadcast_frame79_player4.jpg,0.9696
tacticam_frame10_player15.jpg,broadcast_frame25_player10.jpg,0.9618
tacticam_frame10_player16.jpg,broadcast_frame36_player6.jpg,0.9619
tacticam_frame10_player2.jpg,broadcast_frame14_player1.jpg,0.9583
tacticam_frame10_player3.jpg,broadcast_frame109_player2.jpg,0.9579
tacticam_frame10_player4.jpg,broadcast_frame17_player10.jpg,0.963
tacticam_frame10_player5.jpg,broadcast_frame99_player12.jpg,0.9498
tacticam_frame10_player6.jpg,broadcast_frame21_player7.jpg,0.9765
tacticam_frame10_player7.jpg,broadcast_frame17_player10.jpg,0.9475
tacticam_frame10_player8.jpg,broadcast_frame24_player4.jpg,0.9299
tacticam_frame10_player9.jpg,broadcast_frame37_player10.jpg,0.9388
tacticam_frame110_player0.jpg,broadcast_frame48_player8.jpg,0.9687
tacticam_frame110_player1.jpg,broadcast_frame39_player7.jpg,0.9533
tacticam_frame110_player10.jpg,broadcast_frame116_player7.jpg,0.9575
tacticam_frame110_player11.jpg,broadcast_frame113_player5.jpg,0.9555
tacticam_frame110_player12.jpg,broadcast_frame101_player8.jpg,0.9731
